Date,Humidity,Temperature
03-08-18 03:16,38,29
03-08-18 03:16,37,29
03-08-18 03:16,37,29
03-08-18 03:16,38,29
03-08-18 03:16,38,29
03-08-18 03:16,39,29
03-08-18 03:16,38,29
03-08-18 03:16,38,29
03-08-18 03:17,38,29
03-08-18 03:17,38,29
03-08-18 03:17,38,29
03-08-18 03:17,39,29
03-08-18 03:17,39,29
03-08-18 03:17,39,29
03-08-18 03:17,39,29
03-08-18 03:17,39,29
03-08-18 03:17,39,29
03-08-18 03:18,38,28
03-08-18 03:18,38,29
03-08-18 03:18,38,29
03-08-18 03:18,38,29
03-08-18 03:18,38,29
03-08-18 03:18,38,29
03-08-18 03:18,38,29
03-08-18 03:18,37,28
03-08-18 03:19,37,28
03-08-18 03:19,36,28
03-08-18 03:19,36,28
03-08-18 03:19,36,28
03-08-18 03:19,36,28
03-08-18 03:19,35,28
03-08-18 03:19,35,28
03-08-18 03:19,35,28
03-08-18 03:19,35,28
03-08-18 03:19,35,28
03-08-18 03:20,35,28
03-08-18 03:20,35,28
03-08-18 03:20,34,28
03-08-18 03:20,34,28
03-08-18 03:20,35,29
03-08-18 03:20,34,28
03-08-18 03:20,34,28
03-08-18 03:20,34,28
03-08-18 03:20,34,28
03-08-18 03:21,34,28
03-08-18 03:21,34,28
03-08-18 03:21,34,28
03-08-18 03:21,34,28
03-08-18 03:21,34,28
03-08-18 03:21,34,28
03-08-18 03:21,33,27
03-08-18 03:21,33,27
03-08-18 03:21,33,27
03-08-18 03:21,33,27
03-08-18 03:22,34,28
03-08-18 03:22,34,28
03-08-18 03:22,34,28
03-08-18 03:22,34,28
03-08-18 03:22,34,28
03-08-18 03:22,34,28
03-08-18 03:22,33,28
03-08-18 03:22,34,29
03-08-18 03:22,34,29
03-08-18 03:23,34,29
03-08-18 03:23,34,29
03-08-18 03:23,33,29
03-08-18 03:23,33,29
03-08-18 03:23,33,29
03-08-18 03:23,32,28
03-08-18 03:23,32,28
03-08-18 03:23,33,29
03-08-18 03:23,33,29
03-08-18 03:23,33,29
03-08-18 03:24,33,29
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:24,32,28
03-08-18 03:25,32,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,33,28
03-08-18 03:25,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:26,34,28
03-08-18 03:27,34,28
03-08-18 03:27,34,28
03-08-18 03:27,34,28
03-08-18 03:27,34,28
03-08-18 03:27,34,28
03-08-18 03:27,34,28
